"orf_name","log10p","fdr","lfc","kruskal","anova","DESCRIPTION"
"NMD5",-8.1271171310247,2.70141582412225e-06,6.97597334914911,0.0369039536137181,0.0240198782040303,"Karyopherin; a carrier protein involved in nuclear import of proteins; importin beta homolog"
"GCN1",-6.61278865694513,5.88611380264026e-05,6.73073411808914,0.0369039536137181,0.0365006893734769,"Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA"
"LAA1",-5.39856347315597,0.000413120791854842,6.55804422218367,0.0369039536137181,0.0615730823882668,"AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene"
"YPQ1",-6.22533758275998,8.61848597246173e-05,6.41184563213197,0.0369039536137181,0.020126186466737,"Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; similar to mammalian PQLC2 vacuolar transporter; YPQ1 has a paralog, RTC2, that arose from the whole genome duplication"
"MON2",-4.51774496280453,0.00274728437666549,6.30511179854475,0.0369039536137181,0.0663985816656438,"Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins"
"SEC7",-4.33296151028928,0.00336338866252991,6.10994590258002,0.0369039536137181,0.0602468462036311,"Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi, intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles"
"KAP123",-9.09237772267498,5.85276172297155e-07,5.77445086393825,0.04630159491511,0.0323802308625533,"Karyopherin beta; mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1"
"DOP1",-2.92737063642847,0.0416603856058851,5.74298102776068,0.121335250358482,0.118654947905393,"Golgi-localized, leucine-zipper domain containing protein; involved in endosome to Golgi transport, organization of the ER, establishing cell polarity, and morphogenesis; detected in highly purified mitochondria in high-throughput studies"
"KAP122",-4.34435715695937,0.00336338866252991,5.66679733438995,0.0369039536137181,0.0094101554702735,"Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance"
"ENA2",-2.67997771642365,0.058181846714055,5.54809187263398,0.121335250358482,0.121633024614995,"P-type ATPase sodium pump; involved in Na+ efflux to allow salt tolerance; likely not involved in Li+ efflux"
"RPN1",-3.40199786337734,0.01793166926927,5.40911867176746,0.0369039536137181,0.0561136819921143,"Non-ATPase base subunit of the 19S RP of the 26S proteasome; may participate in the recognition of several ligands of the proteasome; contains a leucine-rich repeat (LRR) domain, a site for protein-protein interactions; RP is the acronym for regulatory particle"
"ORM1",-3.19313456646763,0.0272995242319856,5.13509021583683,0.0369039536137181,0.00771660841688815,"Protein that mediates sphingolipid homeostasis; evolutionarily conserved, required for resistance to agents that induce unfolded protein response; Orm1p and Orm2p together control membrane biogenesis by coordinating lipid homeostasis with protein quality control; ORM1 has a paralog, ORM2, that arose from the whole genome duplication"
